video_id,channel_title,video_title,upload_date,view_count,like_count,dislike_count,comment_count
YxJWnOaLbYY,小高姐的 Magic Ingredients,整鸡脱骨,2018-03-06,152284,2941,,311
1PMasL_48rA,小高姐的 Magic Ingredients,炒锅选购-3 铸铁锅 碳钢锅 中式炒锅 铁锅也可以无油煎鸡蛋,2018-02-28,1355791,32262,,1277
StnCItPM7v8,小高姐的 Magic Ingredients,炒锅选购-2 （玻璃锅 珐琅锅 不粘锅）不粘锅的涂层真的有毒吗？,2018-02-20,1698247,34349,,1072
PUCLToWjMKs,小高姐的 Magic Ingredients,煎牛排的那些事 小高姐6分钟内全部讲清楚,2018-02-13,5517886,81893,,4014
vnkbmY3aIts,小高姐的 Magic Ingredients,枣馍  几种简单的造型 最适合家庭制作,2018-02-09,2231164,25654,,861
BaYhUKLXa4A,小高姐的 Magic Ingredients,炒锅选购（ 铝锅 铜锅 不锈钢锅）本来可以当厨神，结果毁在炒锅上了,2018-02-07,1805985,40413,,1043
_-JdGn3EWZQ,小高姐的 Magic Ingredients,炸鱼排 如何调面糊，挂浆，炸出酥脆的纹路,2018-02-02,1930680,35015,,823
pQvLgXIjrww,小高姐的 Magic Ingredients,无水烧南瓜 甘面 香甜 你确定不是烤出来的吗？,2018-01-29,1418241,19500,,721
OjfdhlW4aIk,小高姐的 Magic Ingredients,烧鸡 免油炸 水煮三黄鸡的技巧,2018-01-24,1107989,14971,,1047
dPmTItb2jr0,小高姐的 Magic Ingredients,红烧带鱼 炒糖色的方法,2018-01-17,549702,7180,,493
e9vpCrCtYIQ,小高姐的 Magic Ingredients,炸麻叶 / 排叉  几种传统的翻花手法,2018-01-12,2410015,31304,,1214
XRVox5pVPQU,小高姐的 Magic Ingredients,牛肉馅饼,2018-01-05,5455811,163443,,4753
p68A0oE_KaU,小高姐的 Magic Ingredients,杏仁饼干,2017-12-30,220701,5189,,1112
IHYfHfDWvtY,小高姐的 Magic Ingredients,水煎包,2017-12-26,2941665,56342,,1604
DBEpw0WCL8s,小高姐的 Magic Ingredients,脆皮鸡,2017-12-20,1221091,19965,,916
uHdFea95PLU,小高姐的 Magic Ingredients,蒸馒头 松软香甜  回味无穷 只要三种原料,2017-12-12,3543676,48792,,3516
